domain,url,has_csp,has_reporting_csp,has_meta_csp,has_html,csp
"google.com","https://www.google.com/",False,False,False,True,None
"youtube.com","https://www.youtube.com/",False,False,False,True,None
"facebook.com","https://www.facebook.com/",True,True,False,True,"default-src data: blob: 'self' https://*.fbsbx.com 'unsafe-inline' *.facebook.com 'unsafe-eval' *.fbcdn.net;script-src *.facebook.com *.fbcdn.net 'unsafe-inline' 'unsafe-eval' blob: data: 'self';style-src *.fbcdn.net data: *.facebook.com 'unsafe-inline';connect-src *.facebook.com facebook.com *.fbcdn.net wss://*.facebook.com:* wss://*.fbcdn.net attachment.fbsbx.com blob: *.cdninstagram.com 'self' wss://gateway.facebook.com wss://edge-chat.facebook.com wss://snaptu-d.facebook.com wss://kaios-d-test.facebook.com/ wss://kaios-d.facebook.com/ *.fbsbx.com;font-src data: *.facebook.com *.fbcdn.net *.fbsbx.com;img-src *.fbcdn.net *.facebook.com data: https://*.fbsbx.com facebook.com *.cdninstagram.com fbsbx.com fbcdn.net blob: android-webview-video-poster:;media-src *.cdninstagram.com blob: *.fbcdn.net *.fbsbx.com www.facebook.com *.facebook.com data:;frame-src *.facebook.com *.fbsbx.com fbsbx.com data: *.fbcdn.net;worker-src blob: *.facebook.com data:;block-all-mixed-content;upgrade-insecure-requests;report-uri https://www.facebook.com/csp/reporting/?m=c&minimize=0;"
"baidu.com","https://www.baidu.com/",False,False,False,True,None
"wikipedia.org","https://www.wikipedia.org/",False,False,False,True,None
"qq.com","https://www.qq.com/",True,False,False,True,"frame-ancestors https://*.qq.com"
"taobao.com","https://world.taobao.com",False,False,False,True,None
"yahoo.com","https://se.yahoo.com/?p=us",True,False,False,True,"frame-ancestors 'self' https://*.builtbygirls.com https://*.rivals.com https://*.engadget.com https://*.intheknow.com https://*.autoblog.com https://*.techcrunch.com https://*.yahoo.com https://*.aol.com https://*.huffingtonpost.com https://*.oath.com https://*.search.yahoo.com https://*.search.aol.com https://*.search.huffpost.com https://*.onesearch.com https://*.verizonmedia.com https://*.publishing.oath.com https://*.autoblog.com; sandbox allow-forms allow-same-origin allow-scripts allow-popups allow-popups-to-escape-sandbox allow-presentation; report-uri https://csp.yahoo.com/beacon/csp?src=ats&site=frontpage&region=SE&lang=sv-SE&device=desktop&yrid=aajpjv9h9erso&partner=;"
"tmall.com","https://www.tmall.com/",False,False,False,True,None
"amazon.com","https://www.amazon.com/",False,False,False,True,None
